complaint_id,true_label,true_category,predicted_risk_score,predicted_category,is_scam_predicted
17186864,1,scam_other,95.0,scam_job,True
16108072,1,scam_other,95.0,scam_job,True
17224078,1,scam_other,95.0,scam_job,True
15792287,1,scam_other,75.0,scam_job,True
17187709,1,scam_other,95.0,scam_job,True
17043107,1,scam_other,95.0,scam_job,True
17055813,1,scam_other,95.0,scam_job,True
17249374,1,scam_other,95.0,scam_job,True
17275369,1,scam_other,20.0,not_scam_irrelevant,False
17218217,1,scam_other,0.0,not_scam_irrelevant,False
17035302,1,scam_other,5.0,not_scam_irrelevant,False
17027700,0,not_scam_irrelevant,0.0,not_scam_irrelevant,False
17041587,1,scam_other,95.0,scam_job,True
17082264,1,scam_other,95.0,scam_job,True
16975074,1,scam_other,0.0,not_scam_irrelevant,False
17027562,1,scam_other,95.0,scam_job,True
17307317,1,scam_other,95.0,scam_job,True
17169208,0,not_scam_irrelevant,0.0,not_scam_irrelevant,False
16992893,1,scam_job,98.0,scam_job,True
17193793,1,scam_other,95.0,scam_job,True
17196888,0,not_scam_irrelevant,95.0,scam_job,True
17089556,1,scam_other,90.0,scam_job,True
17046297,1,scam_other,95.0,scam_job,True
17260065,1,scam_other,95.0,scam_job,True
16972121,1,scam_other,0.0,not_scam_irrelevant,False
17280602,1,scam_other,100.0,scam_job,True
17163492,1,scam_other,70.0,scam_job,True
