complaint_id,timestamp,text_length,gemini_analysis,risk_score
16108072,2025-12-03T20:47:44.812687,370,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Wire Fraud""}, ""red_flags"": {""communication"": [""instructions re-routed to a fraudulent account"", ""internal email system was hacked""], ""financial"": [""instructed to make a wire"", ""beneficiary account name was correct, but the bank had changed""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint describes a wire transfer to a fraudulent account due to a hacked email system, indicating a high likelihood of significant financial loss.""}, ""confidence"": 98}",95
17186864,2025-12-03T20:47:44.981485,1343,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""stalled for weeks with various excuses"", ""stopped responding altogether"", ""denied requests to speak to the actual XXXX""], ""financial"": [""asked to provide {[AMOUNT]} in advance for an {[AMOUNT]} contract"", ""made a series of XXXX transfers"", ""bank denied claim twice"", ""bank enabling continuing fraud by allowing services to be used""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim paid a significant advance amount for a home repair service, only for the contractor to disappear after making excuses. The banks involved have not recovered the funds. The scammer also has a prior conviction for similar fraudulent activity.""}, ""confidence"": 98}",95
15792287,2025-12-03T20:47:46.188455,664,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""pet scams""}, ""red_flags"": {""communication"": [], ""financial"": [""payment requested before service completion"", ""use of specific payment methods that are hard to trace or recover funds from""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint mentions multiple payments and a denied claim with Wells Fargo, indicating financial loss. The mention of 'vaccinations and prep' suggests potential for further financial demands before the promised item (puppy) is delivered.""}, ""confidence"": 98}",95
17224078,2025-12-03T20:47:46.431366,3012,"{""scam_probability"": 90, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Check Deposit Scam""}, ""red_flags"": {""communication"": [""Communication mirrored legitimate messages""], ""financial"": [""Deposited a cashier's check to a fraudulent account"", ""Funds processed but remaining in suspect's account"", ""Bank unable to retrieve funds due to authorized transfer""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer was scammed into depositing a cashier's check into a fraudulent account, resulting in a loss of {[AMOUNT]} that the bank is unwilling to recover due to the consumer's authorization of the transfer.""}, ""confidence"": 95}",90
17187709,2025-12-03T20:47:47.065254,535,"{""scam_probability"": 10, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {""primary_category"": ""N/A"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""N/A""}, ""confidence"": 95}",10
17043107,2025-12-03T20:47:47.991180,1334,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Wire Fraud""}, ""red_flags"": {""communication"": [""Impersonation of a trusted institution (USAA)"", ""Urgency to perform transactions"", ""Instructions to initiate transactions from the victim's side""], ""financial"": [""Request to initiate transactions to 'resolve' fraudulent ones"", ""Loss of funds through fraudulent transfers"", ""Impersonation of bank representatives to gain trust""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim was tricked into initiating fraudulent transactions by scammers impersonating their bank, leading to the theft of a significant amount of money.""}, ""confidence"": 98}",95
17055813,2025-12-03T20:47:47.993061,923,"{""scam_probability"": 10, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {""primary_category"": ""N/A"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint details a complex financial transaction involving multiple banks and missing funds. While it involves financial discrepancies, there's no clear indication of a scam or fraud, nor is it related to employment. It appears to be a dispute or issue with bank transfers.""}, ""confidence"": 95}",10
17035302,2025-12-03T20:47:49.214836,1876,"{""scam_probability"": 0, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {""primary_category"": ""N/A"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""N/A""}, ""confidence"": 100}",0
17249374,2025-12-03T20:47:50.139230,1558,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Business Scams"", ""subcategory"": ""Fake Payment/Overpayment Scam""}, ""red_flags"": {""communication"": [""Contacted via email and phone for a project inquiry."", ""Assured the issue was a 'bank discrepancy' and would be handled.""], ""financial"": [""Received a cashier's check for an amount greater than the agreed-upon retainer."", ""Instructed to wire money for 'electronics' and a forgotten item."", ""Bank account became negative and overdrafted due to a bad check."", ""Offered a new cashier's check for an unexplained amount.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim was defrauded into wiring money based on a fraudulent cashier's check, resulting in a negative bank balance and overdraft fees. The total loss includes the wired amount and potential recovery costs.""}, ""confidence"": 98}",95
17218217,2025-12-03T20:47:50.902283,1370,"{""scam_probability"": 40, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""Wells Fargo denied the claim, stating only that the transaction was authorized."", ""The denial ignored the actual basis of my dispute the merchants failure to provide the promised service and misclassified it as an unauthorized transaction."", ""Wells Fargo did not request evidence from the merchant, conduct a proper investigation, or escalate the claim to a compliance officer or senior representative."", ""The representative only created a complaint about the complaint, which does not correct the mishandled dispute.""], ""financial"": [""I made a payment to a merchant ( XXXX XXXX ) for a specific service totaling {[AMOUNT]}."", ""The merchant failed to provide the service.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer paid for a service that was not provided, and their bank dispute was mishandled, leaving them out of pocket for the full amount.""}, ""confidence"": 95}",40
